Test_Code;NHS_Code;Lab_ID;CitizenCard_Number;NHS_Number;TIN;BirthDay;PhoneNumber;Name;E/mail ;Address;TestType;Category;HB000;WBC00;PLT00;RBC00;Category;HDL00;Category;IgGAN;Test_Reg_DateHour;Test_Chemical_DateHour;Test_Doctor_DateHour;Test_Validation_DateHour
000000000080;IJZ000003118;001LN;0000000000003118;6000003118;2100003118;10/04/1942;91200003118;Scarlett ASHER;ScarlettASHER2155@hotmail.com;640 Street of England 14 London  LN 53 TJ;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,5;22/03/2021 10:52;22/03/2021 12:56;22/03/2021 14:42;22/03/2021 18:44
000000000081;XRR000003105;001MA;0000000000003105;6000003105;2100003105;15/05/1947;91200003105;Brooklyn OGSTON;BrooklynOGSTON2155@yahoo.com;72 Street of England 13 Manchester  MA 02 QY;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,4;22/03/2021 10:55;22/03/2021 13:16;22/03/2021 14:55;22/03/2021 17:22
000000000082;VML000003103;001SO;0000000000003103;6000003103;2100003103;18/10/1942;91200003103;Evelyn DUKE;EvelynDUKE2155@yahoo.com;138 Street of England 17 Southampton  SO 11 VI;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,5;22/03/2021 10:56;22/03/2021 14:03;22/03/2021 16:35;22/03/2021 18:48
000000000083;UGW000003199;001MA;0000000000003199;6000003199;2100003199;06/11/1947;91200003199;Emma LENNOX;EmmaLENNOX2155@yahoo.com;422 Street of England 26 Manchester  MA 94 KI;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,1;22/03/2021 10:58;22/03/2021 13:43;22/03/2021 14:57;22/03/2021 17:38
000000000084;JAF000003126;001MA;0000000000003126;6000003126;2100003126;18/05/1947;91200003126;Emma BINGHAM;EmmaBINGHAM2155@yahoo.com;640 Street of England 7 Manchester  MA 14 JS;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,6;22/03/2021 10:59;22/03/2021 12:20;22/03/2021 14:49;22/03/2021 18:42
000000000085;MJK000003179;001LN;0000000000003179;6000003179;2100003179;22/08/1945;91200003179;Isla DODD;IslaDODD2155@gmail.com;676 Street of England 29 London  LN 33 PG;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;0,8;22/03/2021 10:59;22/03/2021 12:15;22/03/2021 15:41;22/03/2021 17:59
000000000086;CIB000003153;001SO;0000000000003153;6000003153;2100003153;23/12/1947;91200003153;Annabelle LALLY;AnnabelleLALLY2155@gmail.com;631 Street of England 22 Southampton  SO 39 JM;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,7;22/03/2021 11:03;22/03/2021 13:56;22/03/2021 15:44;22/03/2021 17:50
000000000087;WLY000003191;001DO;0000000000003191;6000003191;2100003191;25/03/1947;91200003191;Emma BOSWELL;EmmaBOSWELL2155@hotmail.com;337 Street of England 17 Dorchester  DO 88 IQ;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;0,9;22/03/2021 11:09;22/03/2021 12:56;22/03/2021 16:34;22/03/2021 17:35
000000000088;DGC000003160;001LR;0000000000003160;6000003160;2100003160;13/03/1946;91200003160;Abigail BRADFORD;AbigailBRADFORD2155@gmail.com;908 Street of England 16 Leicester LR 36 VH;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;3,0;22/03/2021 11:10;22/03/2021 13:00;22/03/2021 16:44;22/03/2021 17:08
000000000089;GFQ000003163;001DO;0000000000003163;6000003163;2100003163;28/08/1944;91200003163;Zoe WATERSTON;ZoeWATERSTON2155@hotmail.com;71 Street of England 3 Dorchester  DO 42 JW;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,7;22/03/2021 11:12;22/03/2021 13:53;22/03/2021 14:55;22/03/2021 17:50
000000000090;MFC000003172;001SO;0000000000003172;6000003172;2100003172;07/11/1943;91200003172;Ayla SANGSTER;AylaSANGSTER2155@hotmail.com;717 Street of England 19 Southampton  SO 08 BO;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,5;22/03/2021 11:13;22/03/2021 14:15;22/03/2021 15:47;22/03/2021 17:23
000000000091;JUJ000003195;001LN;0000000000003195;6000003195;2100003195;20/04/1947;91200003195;Sarah MCGRATH;SarahMCGRATH2155@hotmail.com;310 Street of England 15 London  LN 03 OB;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;0,8;22/03/2021 11:16;22/03/2021 12:43;22/03/2021 16:32;22/03/2021 17:07
000000000092;GJX000003132;001LR;0000000000003132;6000003132;2100003132;25/03/1947;91200003132;Alice CARNEGIE;AliceCARNEGIE2155@hotmail.com;917 Street of England 30 Leicester LR 64 TB;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,4;22/03/2021 11:18;22/03/2021 13:30;22/03/2021 15:08;22/03/2021 18:00
000000000093;DHA000003156;001SO;0000000000003156;6000003156;2100003156;17/04/1948;91200003156;Isla MCQUEEN;IslaMCQUEEN2155@hotmail.com;619 Street of England 27 Southampton  SO 81 PD;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,6;22/03/2021 11:18;22/03/2021 14:22;22/03/2021 15:33;22/03/2021 18:30
000000000094;OBM000003134;001LN;0000000000003134;6000003134;2100003134;17/07/1945;91200003134;Eleanor CARRIGAN;EleanorCARRIGAN2155@yahoo.com;638 Street of England 4 London  LN 93 QN;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;2,7;22/03/2021 11:23;22/03/2021 14:17;22/03/2021 16:22;22/03/2021 17:04
000000000095;FNC000003130;001SO;0000000000003130;6000003130;2100003130;06/05/1945;91200003130;Olive DORAN;OliveDORAN2155@yahoo.com;283 Street of England 19 Southampton  SO 47 QK;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,7;22/03/2021 11:25;22/03/2021 12:42;22/03/2021 16:41;22/03/2021 17:27
000000000096;OYB000003145;001DO;0000000000003145;6000003145;2100003145;02/10/1945;91200003145;Chloe PRICE;ChloePRICE2155@hotmail.com;633 Street of England 17 Dorchester  DO 96 JB;Covid;NA;NA;NA;NA;NA;NA;NA;Covid;1,5;22/03/2021 11:29;22/03/2021 12:29;22/03/2021 15:19;22/03/2021 18:31
